,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
244,0,5,0,4,2,3,0,0,4,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,3,0,0,5,1,2,0,1,0,5,0,1,2,0,1,0,0,0,0,0,0,4,0,5,2,2,0,0,0,2,5,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,4,0,2,2,0,5,0,3,0,0,0,0,0,0,5,0,0,4,0,4,2,0,0,0,1,0,0,4,2,4,0,0,0,2,4,0,0,1,0,0,0,0,5,0,3,2,0,0,0,0,1,0,0,3,5,1,0,0
245,0,2,0,4,0,5,4,2,0,0,0,0,5,0,5,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,4,0,0,3,0,2,1,2,0,3,2,0,0,1,0,1,2,0,0,0,0,0,2,4,1,0,2,0,0
246,5,0,4,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,2,0,0,2,5,0,0,0,0,0,1,0,3,3,4,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,3,0,4,3,0,0,0,0,0,0,0,0,4,0,3,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,2,5,0,0,0,0,0
247,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,4,0,0,1,3,0,5,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,5,0,0,3,5,5,0,0,0,0,0,0,0,5,1,5,0,4,1,0,2,3,3,2,0,0,5,0,0,0,4,0,3,0,0,0,0,0,0,0,0,5,3,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,1,0,3,0,0,0,0,2,0,5,0,0,0,0,0,0,0,5,1,3,0,5,0,0,0,0,2,4,0,0,0,0,0,0
248,0,0,4,0,0,3,2,0,3,0,0,0,2,0,1,1,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,2,3,0,0,0,0,0,0,0,0,0,0,5,5,5,1,0,3,1,0,0,0,0,0,4,4,0,4,0,4,2,5,3,5,0,0,0,1,5,0,1,0,0,5,0,0,0,1,0,2,0,0,0,0,0,2,4,0,5,5,0,4,0,0,0,0,0,0,5,3,0,0,0,2,0,0,0,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,4,1,0,0,3,2,0,1,5,5,2,0,0,0,0,0,2
249,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,3,1,0,2,0,1,0,0,3,5,2,0,1,5,0,3,0,2,3,3,3,0,0,0,0,4,1,4,0,3,0,4,3,4,0,0,0,5,4,5,1,0,0,5,0,5,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,1,3,0,3,3,5,0,0,2,4,5,1,3,0,1,1,0,0,2,0,5,4,1,1,1,2,2,3,5,1,2,0,0,3,3,0,0,0,0,0,0,2,0,2,0,1,4,4,4,1,0,1,0,2,0,2,0,0,0,0
250,5,5,5,0,0,5,2,0,4,4,2,0,0,0,4,2,1,1,0,0,0,0,2,0,0,0,0,0,4,0,0,1,4,4,2,5,0,0,0,0,0,0,0,4,0,0,0,0,1,2,5,0,0,0,3,0,0,3,0,0,2,2,0,0,4,1,0,5,4,0,0,0,0,0,2,5,0,0,0,0,1,0,1,3,2,0,2,0,5,3,0,0,3,0,0,0,0,0,0,1,0,3,5,5,0,1,0,0,0,2,0,5,0,0,0,0,4,1,3,0,0,5,3,5,5,0,0,5,0,1,0,0,0,0,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,2
251,4,0,2,0,0,0,0,0,0,0,0,5,0,2,3,4,0,0,1,0,2,0,2,0,0,0,1,0,0,0,3,0,0,0,0,2,4,0,0,0,0,3,0,0,5,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,2,0,0,0,3,0,0,4,0,0,2,0,0,0,0,0,1,0,3,5,5,3,0,5,0,0,0,5,0,0,0,0,3,3,0,1,0,0,0,2,0,0,0,0,0,0,3,0,5,3,0,0,0,1,0,0,0,3,1,0,0,3,1,0
252,3,0,0,2,1,4,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,5,3,0,0,5,0,4,0,4,0,1,0,0,0,3,0,0,0,4,2,1,3,0,0,2,0,0,0,0,0,3,5,4,3,0,0,0,2,0,0,0,2,4,0,4,0,0,0,0,3,4,2,0,0,0,0,5,0,4,0,0,4,0,2,0,3,0,0,1,5,0,0,0,3,0,0,2,5,0,0,0,4,0,0,0,0,0,3,0,0,0,2,0,0,3,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,4,0,0
253,0,0,0,0,1,3,0,0,2,0,1,5,1,5,4,0,0,5,0,0,2,0,0,0,1,0,4,0,0,0,0,0,2,0,0,3,0,0,0,0,5,5,0,0,0,0,0,1,2,0,0,0,3,0,0,0,4,1,0,2,4,0,0,0,0,5,2,3,0,0,0,0,3,1,0,5,0,0,4,0,5,1,0,5,1,0,4,0,0,5,0,0,0,5,0,0,0,0,1,3,1,0,0,3,0,0,0,0,4,0,0,0,0,2,0,4,5,1,0,5,2,1,0,2,5,2,0,0,4,0,0,0,0,3,5,3,0,2,5,2,0,0,0,3,4,0,0,2,0,0
254,0,0,0,3,0,0,1,0,0,4,0,5,0,0,0,0,0,0,0,1,1,3,0,5,0,0,0,0,0,0,4,2,0,1,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,4,1,0,4,1,0,0,0,0,0,0,2,1,1,2,0,0,0,5,0,0,0,4,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,5,0,0,5,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,0,0,2,3,0,0,0,4,0,0,0,0,2,1,5,0,0,0,2
255,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,0,0,2,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,3,0,3,4,0,0,5,0,0,3,0,3,0,5,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0
256,0,0,0,0,1,0,0,2,1,5,4,0,0,0,5,2,1,0,0,0,0,0,1,3,3,0,5,1,5,5,3,2,4,0,0,0,0,4,0,0,0,0,2,0,5,4,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,3,0,4,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,1,3,0,1,4,0,3,0,4,0,0,0,0,0,3,0,3,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,5,0,2,0,0,3,0,0,0,2,3,1,1,0,4,0,1,0
257,5,2,3,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5,4,0,3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,1,3,0,0,0,0,2,0,0,2,0,0,0,4,0,4,0,0,1,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,0,0,0,0,0,0,4,3,3,1,0,0,0,0,0,0,0,0,0,2,0,2
258,2,4,5,0,0,5,0,0,4,0,0,0,5,4,1,2,0,0,5,0,0,3,0,0,1,0,0,3,5,0,2,0,1,0,0,5,5,2,0,0,1,0,0,0,4,1,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,5,5,0,0,1,1,0,5,0,0,0,2,0,0,0,0,0,5,4,0,0,0,0,5,4,1,2,0,0,0,5,0,2,1,0,0,0,4,0,1,1,1,0,0,2,1,3,0,4,3,3,0,3,0,0,0,0,0,5,3,0,3,0,5,0,0,0,5,4,4,0,0,0,0,5,0,3,0
259,0,0,0,0,0,0,3,0,0,5,2,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,2,4,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,4,4,0,0,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,4,0,0
260,0,0,2,3,4,1,0,0,5,0,5,2,0,0,3,5,4,0,0,0,0,4,5,0,0,3,0,0,0,0,0,0,4,3,0,0,0,5,2,0,5,3,0,2,0,0,3,0,2,0,0,0,2,0,1,0,3,0,0,3,5,2,2,0,0,3,0,0,1,0,0,2,0,0,0,3,4,5,3,0,4,0,1,0,0,4,0,0,2,0,0,4,4,3,0,5,2,0,1,3,5,0,4,0,0,0,4,4,1,5,0,3,0,0,0,0,0,0,0,0,4,2,4,5,2,0,4,0,0,0,5,4,1,5,5,2,0,0,0,0,0,0,0,0,3,0,1,1,0,2
261,3,2,0,0,2,0,1,5,0,4,0,4,0,1,0,0,0,3,0,0,0,0,3,2,2,0,0,0,0,0,3,5,2,4,5,0,0,0,4,0,1,1,0,0,0,3,0,0,5,0,1,0,5,0,3,0,2,0,0,0,3,0,0,0,0,0,4,0,0,0,1,5,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,5,0,4,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,3,3,1,0,0,0,2,0,0,3,1,0,5,0,0,0,0,4,0,5,3,3,5,2,3,0,1,0,0,5,0
262,0,0,4,0,2,4,4,0,5,0,0,5,0,1,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,5,0,0,5,0,2,0,3,3,0,0,5,0,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,3,0,0,4,5,4,0,0,0,5,0,4,0,0,0,0,4,4,0,0,2,4,2,0,3,0,0,4,0,2,4,5,0,3,3,4,0,0,4,1,0,0,4,0,0,4,0,0,4,2,2,5,5,0,2,0,0,4,0,5,0,0,5,0,0,2,5,4,4,1,0,1,3,0,0,2,1,5,0,4,4,4,0
263,0,0,0,5,4,0,4,0,1,5,3,0,0,4,0,0,0,3,0,0,0,0,5,0,0,5,0,0,0,4,0,2,4,0,0,5,4,0,1,0,0,3,0,2,3,0,0,0,0,0,1,3,0,0,0,0,5,0,0,5,0,1,0,0,0,0,1,0,0,3,5,0,3,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,4,3,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,0,4,0,3,5,3,3,5,0,4,0,3,0,5,5,0,0,0,3,0,0,0,0,2,0,0,2,0
264,0,0,3,0,2,5,3,4,0,2,5,4,0,5,0,4,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,3,2,0,0,2,0,0,0,4,5,0,0,0,0,3,4,4,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,5,0,0,5,2,0,1,4,0,1,3,1,0,4,3,5,0,0,0,3,5,4,5,1,3,0,0,0,0,0,0,3,4,0,0,2,1,0,0,2,0,4,1,3,5,5,0,0,0,0,3,0,4,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,5,0,4,5,0,0,0,4,3,2,0
265,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,5,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,2,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,5,0,0,0,1,3,0,5,0,2,1,0,2,0,0,3,0,2,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,5,0,0,0,0,0,5
266,1,0,0,0,3,0,0,0,0,0,5,0,1,0,4,4,3,1,5,0,1,0,5,4,0,0,0,0,4,1,0,0,4,3,0,0,5,5,0,1,4,0,0,2,1,0,5,0,1,0,2,2,3,0,0,0,0,5,0,0,0,5,1,0,4,2,0,1,3,2,0,0,0,1,1,4,2,0,5,0,0,3,3,2,0,0,0,5,0,1,0,0,0,5,1,4,0,3,0,4,0,1,1,3,0,0,0,0,1,0,0,0,3,0,3,4,0,0,3,1,4,3,0,0,0,0,2,2,0,0,0,5,0,0,2,0,0,2,0,0,4,0,0,0,4,0,0,4,0,0
267,2,0,0,4,0,5,0,0,0,0,0,0,0,4,4,5,0,0,1,0,1,4,4,5,0,1,1,2,5,0,0,5,0,0,0,2,3,0,0,2,0,4,2,0,2,4,1,4,2,4,1,0,1,4,4,0,0,2,5,5,5,0,1,3,0,4,1,0,5,0,4,0,0,0,5,0,1,0,3,0,3,5,1,4,1,0,2,0,5,0,0,2,0,3,0,0,0,0,0,0,1,2,1,0,3,4,5,4,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,2,0,0,3,0,5,0,0,0,0,0,0,0,1,0,5,0,2,0
268,0,4,0,4,5,0,3,0,0,0,4,3,0,4,5,0,5,5,0,1,0,3,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,4,5,0,1,0,0,0,2,5,0,1,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,4,0,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,2,0,5,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,3,3,0,1,5,0,2,0,0,0,0,0,0,4,0,4,5,0,4,0,3,5,4,0,0,1
269,0,0,0,0,1,0,0,2,0,5,4,0,0,4,3,0,5,5,3,5,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,5,0,0,0,3,0,3,1,0,0,0,3,0,0,0,2,4,0,0,3,4,4,0,0,0,5,0,0,2,0,0,5,0,0,0,0,2,2,1,0,0,4,2,3,0,4,0,0,5,4,0,0,4,0,2,4,1,4,5,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,5,0,4,0,0,4,2,0,0
270,0,4,4,0,0,1,0,5,5,2,3,0,0,0,4,0,0,0,5,0,0,0,0,0,3,4,0,3,0,0,1,0,0,0,1,0,0,0,0,0,2,0,5,0,0,0,0,4,0,4,5,0,0,0,0,0,0,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4,0,0,3,0,0,0,0,5,0,0,1,3,0,5,4,5,0,0,0,0,2,0,0,0,0,0,0,5,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,4,0,4,0,0,0,0,0,0,5,3,0,0,0,0
271,5,2,3,4,1,0,4,5,3,0,0,0,1,5,0,1,0,0,5,0,2,0,5,5,0,5,0,0,0,3,4,3,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,5,0,1,0,0,0,0,0,5,0,2,0,3,0,0,0,0,5,3,4,2,5,2,0,0,1,2,3,3,0,0,4,0,0,0,3,0,1,0,3,0,0,5,1,4,4,1,3,0,0,0,0,4,5,0,0,4,0,0,1,0,1,0,4,2,0,0,0,1,0,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,3,3,0,0,3
272,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,1,3,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,3,0,0,1,0,0,3,0,5,0,3,0,0,3,0,0,0,0,0,0,1,0,0,1,3,0,4,4,0,5,4,0,0,0,0,0,0,0,0,5,4,0,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,3,0,0,1,2,0,0,0,0,3,0,5,0,0,4,4,0,0,0,0,0,5,5,0
273,0,0,0,0,2,5,2,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,4,0,0,0,4,0,0,4,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,4,0,2,0,5,0,0,0,0,1,5,5,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5,2,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,5,0,0,3,5,4,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
274,4,2,2,2,0,0,0,0,0,5,4,0,0,0,0,3,0,0,0,0,2,0,3,0,5,1,0,0,0,0,0,2,2,0,3,4,0,2,0,0,2,2,3,0,0,0,0,2,0,1,0,2,1,0,0,4,4,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,5,2,5,0,1,0,0,0,5,0,0,5,4,4,0,2,2,0,0,4,3,0,5,0,3,0,5,0,0,5,2,0,3,1,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,2,4,0,3,3,0,0,3,5,0,0,2,0,0,0,2,0,4,5,0,0,0,4
275,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,0,5,0,0,0,0,1,0,3,2,0,0,0,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,0,0,0,4,5,0,0,5,0,0,1,2,4,0,1,0,0,0,0,0,0,0,5,4,3,0,2,0,0,4,0,1,3,0,0,1,0,0,3,2,4,0,0,0,0,2,0,3,3,0,0,0,2,0,0,1,0,0,1,2,0,5,4,0,0,0,0,0,0,1,0,4,0,0,5,0,0,4,0,0,5,2,0,0,0,0,0,0
276,3,0,1,1,0,4,0,3,0,1,0,0,4,1,0,1,0,0,2,0,0,0,0,0,0,4,3,3,0,4,0,2,0,3,0,0,4,5,1,0,4,0,1,1,0,0,0,0,4,1,0,0,0,2,0,0,3,5,4,4,0,4,4,0,5,4,0,5,4,5,5,0,1,0,1,0,5,0,0,2,0,2,0,0,1,0,0,0,0,0,3,0,3,0,2,2,0,0,2,0,0,1,0,0,0,5,0,0,4,0,2,0,5,1,5,2,0,4,4,2,0,0,2,0,1,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,4,0,1,0,2,0,0,0,0,3
277,4,0,4,1,2,0,5,5,3,0,0,0,0,4,0,5,0,0,0,0,5,3,3,0,1,0,0,3,0,0,0,4,0,0,0,3,2,0,0,0,0,1,0,1,0,4,3,0,0,0,0,1,0,3,0,1,0,2,4,0,0,0,2,4,5,5,0,0,2,0,0,0,2,0,0,0,0,2,1,5,0,0,0,0,1,0,3,0,4,0,0,5,3,0,4,0,0,2,0,3,0,0,0,5,4,0,4,2,0,2,0,1,2,5,3,5,0,2,3,0,5,1,0,0,0,0,3,5,0,3,0,3,2,2,0,3,3,0,0,4,1,0,0,3,1,0,3,0,0,0
278,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,2,0,5,5,5,1,0,2,3,0,1,3,0,0,5,4,0,3,0,5,0,0,3,5,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,5,0,3,4,0,0,0,0,2,4,0,0,3,5,2,0,3,0,0,0,0,0,0,4,0,2,5,0,3,0,0,0,0,3,0,0,3,0,4,2,0,0,4,0,0,4,3,0,0,0,0,5,5,0,0,0,0,5,5,4,5,0,4,0,0,0,3,5,0,0,0,0,0,0,0,0,3,2,3,1,0,0,0,2,1,4,2,2,0,5
279,0,2,2,0,0,0,3,0,3,0,0,0,3,0,0,0,0,4,1,0,0,5,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,2,0,3,0,0,0,2,0,5,0,1,0,0,0,2,0,0,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,3,0,0,4,5,2,3,0,4,3,0,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0,5,0,2,0,0,3,0,0,0,5,0,0,2,0,2,4,0,0
280,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,1,0,0,0,1,4,3,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,4,0,3,0,0,0,1,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3
281,4,0,4,3,0,0,1,0,2,0,0,0,0,5,4,0,1,0,0,2,0,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,5,0,2,0,5,0,0,0,5,0,0,5,5,3,0,5,4,3,0,0,0,0,0,1,0,0,0,5,0,5,0,0,0,2,0,0,0,0,0,4,0,0,0,4,3,1,0,5,0,4,0,0,4,0,0,0,0,0,0,3,0,0,0,0,4,2,0,1,0,1,0,0,3,0,0,0,1,0,2,0,2,3,0,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,1,5,0,0,4,2
282,5,0,0,1,5,1,0,5,0,2,0,2,0,2,0,0,0,0,5,0,0,1,0,0,2,4,0,4,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,2,0,0,0,5,2,0,2,0,0,0,1,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,4,0,2,0,0,1,0,0,2,0,3,0,0,5,2,4,0,4,0,4,0,0,0,0,5,0,1,0,0,0,3,4,0,1,1,0,1,0,4,1,4,0,2,1,0,0,1,1,0,0,4,1,0,3,2,0,5,1,0,0,5,0,2,1,0,4,0,1,5,5,2
283,0,0,1,0,0,0,0,2,1,0,3,1,0,5,0,4,0,0,0,4,2,3,5,3,3,0,5,0,0,4,3,4,2,3,2,2,0,0,0,0,5,0,0,4,0,0,0,0,5,2,0,0,3,0,0,2,3,0,0,4,2,0,0,5,1,0,0,0,4,3,5,0,3,2,0,3,0,1,5,0,3,0,0,3,0,0,0,0,4,0,0,0,0,1,0,3,0,0,0,4,0,0,2,5,0,0,0,1,4,5,0,0,4,0,0,0,0,0,5,4,5,0,1,0,1,5,0,0,2,0,3,0,5,0,0,5,0,0,0,1,1,0,0,3,3,0,0,4,0,0
284,2,0,4,0,1,2,2,2,3,5,0,0,0,4,0,0,1,5,1,1,3,0,0,0,1,0,1,0,1,0,3,0,4,3,1,0,0,1,0,0,4,3,0,4,5,1,0,0,0,3,0,2,3,3,0,1,0,0,0,0,5,3,1,0,3,0,1,0,1,1,0,0,4,1,4,4,2,0,3,0,1,2,0,1,4,0,0,0,4,5,5,0,0,3,3,5,0,0,2,0,0,2,0,0,2,3,2,0,0,5,3,3,3,0,1,0,0,0,4,2,0,3,2,5,0,0,0,3,0,0,0,0,1,4,0,5,0,0,2,0,1,2,0,3,3,0,0,3,0,2
285,1,0,0,0,1,0,1,2,0,5,0,5,2,0,0,5,0,0,0,0,0,0,3,0,3,0,2,4,0,4,0,0,0,0,0,0,2,0,0,0,2,0,0,5,3,2,4,0,0,0,3,0,0,0,0,4,2,5,4,0,2,0,5,4,0,0,2,0,0,0,0,3,0,3,0,0,0,1,0,2,0,0,3,3,0,5,5,0,0,0,5,1,3,1,5,0,0,3,5,0,0,0,0,0,0,4,3,0,0,0,5,2,4,0,5,2,0,0,0,0,0,0,0,0,3,0,0,5,1,1,1,1,0,5,0,0,0,3,0,0,5,0,0,0,4,0,0,0,0,2
286,4,0,0,0,5,0,1,2,0,2,0,0,1,0,5,0,0,0,0,0,0,5,2,0,0,0,5,0,4,5,2,0,0,4,3,0,0,4,1,1,0,5,0,4,0,0,3,2,0,4,3,3,0,3,0,0,1,0,3,5,0,1,5,2,4,0,0,0,0,0,0,4,0,0,0,0,0,3,1,2,1,2,0,5,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,2,4,0,0,0,5,3,4,0,0,0,0,2,2,0,5,0,2,5,1,1,2,0,2,0,1,3,0,1,0,0,2,2,5,0,5,0,0,0,0,0,0,0,0,5,0
287,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,1,4,1,0,5,2,0,0,3,0,0,0,1,5,2,0,0,4,1,4,0,0,4,3,4,0,5,5,5,0,0,0,0,0,2,4,0,0,5,2,0,4,5,3,0,1,0,0,1,3,0,5,1,0,0,3,0,4,0,5,4,0,1,0,0,0,0,4,0,0,3,5,0,2,4,0,0,0,0,1,3,0,0,2,0,0,3,5,0,0,3,0,1,3,0,0,0,0,3,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,4,3,5,0,3,2,0
288,3,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,3,0,0,3,0,1,5,3,0,0,5,0,0,3,5,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,0,2,0,0,2,5,0,3,2,3,5,3,3,0,4,5,0,0,0,4,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,3,2,0,4,0,5,1,3,0,4,0,0,3,5,2,3,0,4,0,3,0,0,0,0,0,0,0,5,4,0,3,0,4,4,4,0,2,0,2,0,0,2,0
